month,orders,revenue,aov
2021-01,6,35.64,5.94
2021-02,7,37.62,5.37
2021-03,7,37.62,5.37
2021-04,7,37.62,5.37
2021-05,7,37.62,5.37
2021-06,7,37.62,5.37
2021-07,7,37.62,5.37
2021-08,7,37.62,5.37
2021-09,7,37.62,5.37
2021-10,7,37.62,5.37
2021-11,7,37.62,5.37
2021-12,7,37.62,5.37
2022-01,7,52.62,7.52
2022-02,7,46.62,6.66
2022-03,7,44.62,6.37
2022-04,7,37.62,5.37
2022-05,7,37.62,5.37
2022-06,7,37.62,5.37
2022-07,7,37.62,5.37
2022-08,7,37.62,5.37
2022-09,6,36.63,6.11
2022-10,7,37.62,5.37
2022-11,7,37.62,5.37
2022-12,7,37.62,5.37
2023-01,7,37.62,5.37
2023-02,7,37.62,5.37
2023-03,7,37.62,5.37
2023-04,7,51.62,7.37
2023-05,7,42.62,6.09
2023-06,7,50.62,7.23
2023-07,7,37.62,5.37
2023-08,7,37.62,5.37
2023-09,7,37.62,5.37
2023-10,7,37.62,5.37
2023-11,6,23.76,3.96
2023-12,7,37.62,5.37
2024-01,7,37.62,5.37
2024-02,7,37.62,5.37
2024-03,7,37.62,5.37
2024-04,7,37.62,5.37
2024-05,7,37.62,5.37
2024-06,7,37.62,5.37
2024-07,7,39.62,5.66
2024-08,7,47.62,6.8
2024-09,6,46.71,7.79
2024-10,7,42.62,6.09
2024-11,7,37.62,5.37
2024-12,7,37.62,5.37
2025-01,7,37.62,5.37
2025-02,5,27.72,5.54
2025-03,7,37.62,5.37
2025-04,5,33.66,6.73
2025-05,7,37.62,5.37
2025-06,7,37.62,5.37
2025-07,7,37.62,5.37
2025-08,7,37.62,5.37
2025-09,7,37.62,5.37
2025-10,7,37.62,5.37
2025-11,7,49.62,7.09
2025-12,7,38.62,5.52
